date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2007-05-18,2007,5,18,Friday,Higher Ground,South Burlington,VT,US,12,https://discobiscuits.net/shows/2007-05-18-higher-ground-s-burlington-vt
2007-05-19,2007,5,19,Saturday,The Calvin,Northampton,MA,US,13,https://discobiscuits.net/shows/2007-05-19-the-calvin-northampton-ma
2007-05-20,2007,5,20,Sunday,Town Ballroom,Buffalo,NY,US,13,https://discobiscuits.net/shows/2007-05-20-town-ballroom-buffalo-ny
2007-05-21,2007,5,21,Monday,Mr. Small's Funhouse,Pittsburgh,PA,US,16,https://discobiscuits.net/shows/2007-05-21-mr-small-s-funhouse-pittsburgh-pa
2007-05-24,2007,5,24,Thursday,Highline Ballroom,New York,NY,US,14,https://discobiscuits.net/shows/2007-05-24-highline-ballroom-new-york-ny
2007-05-26,2007,5,26,Saturday,Penn's Landing,Philadelphia,PA,US,3,https://discobiscuits.net/shows/2007-05-26-penn-s-landing-philadelphia-pa
2007-05-27,2007,5,27,Sunday,Electric Factory,Philadelphia,PA,US,16,https://discobiscuits.net/shows/2007-05-27-electric-factory-philadelphia-pa
2007-06-08,2007,6,8,Friday,Sonar Lounge,Baltimore,MD,US,14,https://discobiscuits.net/shows/2007-06-08-sonar-lounge-baltimore-md
2007-06-09,2007,6,9,Saturday,Ft. Armistead Park,Baltimore,MD,US,14,https://discobiscuits.net/shows/2007-06-09-ft-armistead-park-baltimore-md
2007-06-26,2007,6,26,Tuesday,Chameleon Club,Lancaster,PA,US,12,https://discobiscuits.net/shows/2007-06-26-chameleon-club-lancaster-pa
2007-06-27,2007,6,27,Wednesday,Charlottesville Amphitheatre,Charlottesville,VA,US,8,https://discobiscuits.net/shows/2007-06-27-charlottesville-amphitheatre-charlottesville-va
2007-06-28,2007,6,28,Thursday,Ntelos Wireless Pavilion,Portsmouth,VA,US,9,https://discobiscuits.net/shows/2007-06-28-ntelos-wireless-pavilion-portsmouth-va
2007-06-29,2007,6,29,Friday,Lincoln Theater,Raleigh,NC,US,10,https://discobiscuits.net/shows/2007-06-29-lincoln-theatre-street-stage-raleigh-nc
2007-06-30,2007,6,30,Saturday,Masquerade - Music Park,Atlanta,GA,US,9,https://discobiscuits.net/shows/2007-06-30-masquerade-music-park-atlanta-ga
